t,z1,z1dao,z2,z2dao
0.0,0.0,0.0,0.0,0.0
0.2,0.0067246584958227,0.0903784895351643,0.0198133911203773,0.168324234750683
0.4,0.0406213681555153,0.248150232129718,0.0622364974305828,0.245454539201828
0.6,0.106010854988324,0.340124747265678,0.118470267956319,0.269110636623612
0.8,0.16663982347961,0.316854345568136,0.165318661652933,0.242310304135986
1.1,0.233156809956761,0.154412036373669,0.214873444689298,0.103640890772763
1.3,0.246701126442446,-0.0053449625958007,0.220773540301338,-0.0421355928036754
1.4,0.230745230883705,-0.185653883897961,0.199828971005269,-0.206904801570651
1.7,0.147730274069185,-0.463312027511396,0.11522005688729,-0.453019877627996
1.8,0.0659553295659214,-0.606465644829157,0.0366234754818811,-0.574747723487998
2.1,-0.148489910388687,-0.768480511528436,-0.162316338183763,-0.700951312156211
2.3,-0.266052216511232,-0.764711995785025,-0.268715029821788,-0.686876334831017
2.4,-0.378226543515599,-0.697291596478832,-0.368630049224829,-0.615372611382378
2.8,-0.550289426629582,-0.37322548556563,-0.516460011783965,-0.303383380742517
2.9,-0.590669790449499,-0.131045282354479,-0.547041841243326,-0.0777555625298741
3.1,-0.590183846596111,0.141755410506263,-0.539834619711695,0.172683952907225
3.2,-0.545626914791274,0.423902065383413,-0.49241520229595,0.428611872774164
3.5,-0.329268058922058,0.924058395590238,-0.2832683517785,0.874127961003038
3.7,-0.152843396449146,1.11120190351454,-0.11774961798533,1.0353534307791
3.9,0.0483839474540391,1.20858011196237,0.0686087200234111,1.11300081520988
4.1,0.25763341320707,1.20231823596142,0.260291699331154,1.09548071169145
4.2,0.456530279108517,1.08808752681399,0.440522380546965,0.980003946539901
4.6,0.752224742414753,0.569942664406962,0.702679325826624,0.489979088349782
4.8,0.823065344643199,0.170254403699913,0.761104418700184,0.120125439047991
4.8,0.829431685512928,0.005494195316486,0.764317369347349,-0.031248825559181
5.1,0.77621651268348,-0.491659744773543,0.707804643855829,-0.48460996616909
5.3,0.537344374606703,-1.07757612596933,0.480065100464059,-1.01149718982081
5.5,0.35476473737613,-1.28800133979837,0.309611520081146,-1.19703044455191
5.7,0.146146407525021,-1.41455084124787,0.116477522155745,-1.30499761166228
5.8,-0.0747961807420639,-1.44730917758413,-0.0867068293751062,-1.32692455882158
6.1,-0.494791407753682,-1.2258333570396,-0.469501453090182,-1.10983893368379
6.3,-0.681543884065839,-0.955968601446011,-0.6378441195301,-0.857007966570244
6.5,-0.815310090876764,-0.60781261200689,-0.756871389864514,-0.534589308223654
6.6,-0.885268664372542,-0.21102166302358,-0.817048646418058,-0.169896163600225
7.0,-0.81804045265091,0.592431709550868,-0.747948109625753,0.562256037447822
7.1,-0.687502703100231,0.931589588391091,-0.625395597164461,0.868635432515949
7.3,-0.505808878037901,1.19035365642084,-0.456795473026513,1.10051060619415
7.5,-0.261444119802555,1.35960035758639,-0.231607124066512,1.24951939301253
7.7,0.0018237592633575,1.38831463308542,0.0097901404444473,1.27032926890692
7.9,0.257083802323389,1.2772027378696,0.242915625468017,1.16427825051109
8.1,0.479044876963866,1.04213758607489,0.444882419821153,0.946357965903165
8.3,0.646736637330377,0.711949614624235,0.596821092350158,0.643152289219434
8.4,0.745625611178836,0.324807446463047,0.685764002825506,0.28951876485571
8.6,0.768952102677674,-0.0763477000315875,0.70581856280073,-0.0755748010330464
8.8,0.7181669623988,-0.448787896587728,0.658523101005085,-0.413563351162313
9.0,0.588348136065507,-0.779591670226432,0.539477181923744,-0.712988637039248
9.2,0.401285516324284,-0.993877509572726,0.368682226999967,-0.906429128908146
9.4,0.183643022705611,-1.07236729778991,0.170327827045339,-0.976932905686805
9.7,-0.0359394094236621,-1.01515896739169,-0.0297040625699545,-0.924989046307935
9.9,-0.23083054625818,-0.840587913731645,-0.207418155956848,-0.767451412436113
10.1,-0.379839491472016,-0.58155759236333,-0.343774522146407,-0.534153116266198
10.3,-0.469674546869113,-0.280011517052427,-0.42686628275563,-0.262837208646307
10.5,-0.496147937528494,0.0196322870532685,-0.452956347313405,0.0067580736727043
10.7,-0.464000213242155,0.277114654378405,-0.426278207851337,0.238762972299797
10.9,-0.3854217140447,0.461994538768853,-0.357688700708107,0.406150684400008
11.1,-0.277564559802457,0.557467333224685,-0.262435551916031,0.494122791119255
11.3,-0.182556843148499,0.567929832103544,-0.177997242086527,0.506118712330828
11.4,-0.0904153972116908,0.525263496656992,-0.095631518950598,0.471196684489826
11.6,-0.0091396919622669,0.440347231513711,-0.0223934284643068,0.399065189444112
12.0,0.0998648683062561,0.203732849031064,0.0782763315499164,0.196100146467129
12.1,0.123775197330025,0.0847126285394369,0.102352356892356,0.0939733884556551
12.3,0.129196947930279,-0.0150007870206398,0.110585322110305,0.0086998581468745
12.5,0.120345581917332,-0.0844946937443288,0.106644661261002,-0.0503418260759049
12.6,0.102885949540589,-0.117395615116304,0.0954307660057289,-0.0778664520894156
12.9,0.0719574015067632,-0.0908127228676052,0.0753149061586537,-0.0544889361367588
13.0,0.0623281752468089,-0.0459748665312559,0.0702654460139685,-0.0164405415111223
13.3,0.0661099409287847,0.0775448295840528,0.0794844136402856,0.0861470472908703
13.4,0.0812728664155088,0.141055477535429,0.0949841306951047,0.137273038210669
13.8,0.140349171833803,0.237018582363337,0.148958019460308,0.207941181499516
13.9,0.180314985088585,0.245850794470595,0.183315037291141,0.206944473222008
14.1,0.218585376497754,0.21565519958567,0.214716862226095,0.171316631973789
14.2,0.248593600307955,0.144974864148652,0.237386148333799,0.100368128134559
14.4,0.263937693418995,0.0372013922935295,0.245792063098891,-0.0022580870656146
14.7,0.230467097531038,-0.253300374841117,0.203016444011721,-0.267993979456346
14.9,0.175635635908323,-0.41035654488374,0.147182621194001,-0.407484308200714
15.1,0.0959036160491503,-0.55231828711526,0.0694695315387935,-0.530709711878283
15.2,-0.0048371232235832,-0.662408852059126,-0.0261965280902641,-0.622819170672223
15.6,-0.24111038598522,-0.731473533702173,-0.244590045461478,-0.66559603021141
15.7,-0.357838759563879,-0.673041426027768,-0.349934945391471,-0.601936396459001
15.9,-0.459570468875591,-0.550149160563849,-0.439955931552364,-0.480395498297354
16.1,-0.546944961632724,-0.328441967136198,-0.514514354905527,-0.26910364432746
16.3,-0.584300025120079,-0.0445099825051589,-0.541973622179945,-0.004269835027559
16.4,-0.570832666938212,0.213690591947148,-0.523650773372927,0.233233708851943
16.8,-0.419505379188938,0.713864527433065,-0.373655449279183,0.685498055926669
16.9,-0.287881263943445,0.914346130828468,-0.248491725303815,0.86277925294161
17.1,-0.128461334918889,1.05681834508289,-0.0990279652655951,0.985316292955274
17.2,0.0482293360327223,1.12720697946694,0.0648866908256141,1.04086340757454
17.4,0.229816129634509,1.11684641694356,0.231818029768726,1.022162756859
17.8,0.589877573952888,0.792985624372074,0.557785453747565,0.707087421535794
17.9,0.708597937596275,0.498711954454101,0.66240501190432,0.431223647943966
18.1,0.768094774643559,0.148182506886347,0.711865240249091,0.106513616299419
18.3,0.761023173653391,-0.225994703983013,0.699949487121898,-0.236997392039481
18.5,0.686319129466905,-0.588116812834806,0.62619874548317,-0.566725803547668
18.7,0.549426145633997,-0.903052250378236,0.496068204083437,-0.850853495371247
18.9,0.332601421971579,-1.1651184850725,0.293258915278886,-1.08377791224954
19.1,0.0749208663849027,-1.29220727121468,0.0546544426123405,-1.19181846253758
19.3,-0.193469558259525,-1.26747832616825,-0.191996934924414,-1.16075821517234
19.5,-0.440938795142436,-1.09347001516523,-0.417829683404086,-0.994007471377816
19.7,-0.638429467106726,-0.791753537785224,-0.596537361288326,-0.712133203549297
19.9,-0.763122698713328,-0.399951547993434,-0.707661603085807,-0.350076538360302
20.1,-0.801251271556298,0.0333399790828361,-0.739095514217819,0.0475152987762082
20.3,-0.749721742335339,0.454974719841483,-0.688497391563845,0.432195366901819
20.5,-0.616343604783875,0.814199087172118,-0.563429392343986,0.758052226533763
20.8,-0.418637792990467,1.06922507407848,-0.380206618482705,0.987596636745658
21.0,-0.181395211062875,1.19250783748872,-0.161633163327726,1.09640010134845
21.2,0.0666585028584383,1.17394818954014,0.0660411541138917,1.07588727191457
21.4,0.296608440421468,1.02161378419657,0.276514854046595,0.933944407984394
21.6,0.482983786657461,0.760013673385672,0.446718392507869,0.693297113979212
21.8,0.606801803187865,0.42627627055098,0.559551215947363,0.387931576346304
22.0,0.657644184599764,0.0647694194356752,0.605721346304999,0.0581342011583688
22.2,0.634519907121593,-0.279108116444373,0.584475008361562,-0.255090032590913
22.4,0.54543506469256,-0.565041390149723,0.503169600768512,-0.515430666796936
22.6,0.405377778722408,-0.763254394785551,0.37543540264548,-0.696135503060188
22.8,0.23493558063083,-0.856189753244077,0.219930272280564,-0.781555111065153
23.0,0.056461183222266,-0.842125495138376,0.0568629403401132,-0.770358086416123
23.2,-0.108859640638738,-0.733586140215191,-0.0946468117368472,-0.673948656165262
23.5,-0.243711115567067,-0.554567387255929,-0.21897718005211,-0.513879599681778
23.7,-0.336604633821239,-0.336208796042924,-0.305728881871064,-0.318003736175685
23.9,-0.382841208151079,-0.111687840853668,-0.350568030862488,-0.11597378326656
24.1,-0.384402920192956,0.0887788121129418,-0.355124929720178,0.0652386387012417
24.3,-0.348875537179839,0.242099039911581,-0.326024403712808,0.205120998032672
24.5,-0.287638955035311,0.335141671258937,-0.273254510501404,0.292111105613144
24.7,-0.21364432580937,0.365896169331988,-0.208179995150206,0.324471046624776
24.9,-0.13914513800353,0.342756419801195,-0.141546819503015,0.309531975604913
25.1,-0.0737588154026407,0.282063788725235,-0.0817988392839326,0.261545935016428
25.3,-0.0312801136837816,0.219223606078747,-0.0417909706722224,0.210566318553288
25.5,0.0004317281369826,0.15658288852856,-0.010542784667853,0.159551050912001
25.6,0.0182075569249975,0.114489111470427,0.0081661740821652,0.125418661111763
25.7,0.031057550203514,0.0824266587062958,0.0228981095154001,0.0996848197592214
25.9,0.0404865447360916,0.0630010684217491,0.0349107323499224,0.0844842231258853
26.1,0.0562025534597833,0.0654936253067998,0.0566809044968056,0.0881952917699686
26.2,0.066024556078175,0.0854714832964369,0.0693287463232385,0.105177230710365
26.5,0.099431751211033,0.153765206376576,0.106662036085476,0.160375908085434
26.7,0.123878562252536,0.190183582842498,0.131438830827398,0.188039246407114
26.8,0.153105633406917,0.219906527260073,0.159712387064082,0.208598509590854
27.1,0.219556177319951,0.235991472384124,0.220544865287729,0.208613979677424
27.3,0.25643258802219,0.207550705858062,0.252392037896106,0.174261138035516
27.4,0.286016368397394,0.146985981481031,0.276265647923115,0.111443222576205
27.8,0.302681115949477,-0.0636380276443806,0.282119445156528,-0.0910288222582808
27.9,0.281210035281952,-0.200811188724602,0.256924501576635,-0.218074421399538
28.1,0.236445678111584,-0.345210555798687,0.210366935517054,-0.349251485384942
28.2,0.168254567914313,-0.483496374103833,0.142730684849861,-0.472411455540907
28.4,0.0787938774902239,-0.601517798782413,0.0563708056784265,-0.574844983657657
28.8,-0.157443067768031,-0.725845205219019,-0.165495075263002,-0.671671032881529
28.9,-0.288785165889143,-0.698961533937595,-0.286119214830632,-0.636848391729311
29.1,-0.408742999306057,-0.600727511308071,-0.394472367640223,-0.537075297995581
29.3,-0.504451141533413,-0.434536497835933,-0.478928028578822,-0.376364609471797
29.5,-0.56438313391113,-0.211627347208768,-0.529240380242905,-0.16576648912575
29.7,-0.579727495900394,0.0497514409693518,-0.537770371693947,0.0774543629767234
29.9,-0.545530889373999,0.325995255348856,-0.500490143139668,0.331378738333156
30.0,-0.461474143825335,0.59045277748659,-0.417645007415934,0.571582834175627
30.2,-0.33218288168248,0.816173298489968,-0.29398541022926,0.773660047055417
30.4,-0.165330447837629,0.979984326816825,-0.13694574933589,0.916843000116603
30.8,0.220051268097115,1.04451112065911,0.220052917256367,0.958818104844877
31.0,0.403907363017987,0.931233604320417,0.388040229171086,0.846478414536596
31.1,0.558367247321189,0.727752773091775,0.527604206670354,0.6525759983412
31.3,0.66820241561874,0.451025982033859,0.625054570046058,0.393296628509838
31.5,0.723450451253647,0.104350866580166,0.671350960079708,0.0719424292687578
31.7,0.71766306104729,-0.179827454148651,0.662337471035118,-0.189478494863952
31.8,0.668898637614646,-0.456714398934454,0.613907914356993,-0.442637170642637
32.1,0.446543547137046,-0.928320546828393,0.403287042279662,-0.869405338493952
32.3,0.282802142641299,-1.08512777055413,0.250555927419531,-1.00872028212981
32.5,0.0996480061134045,-1.16688078019134,0.0807947655316654,-1.0786904395636
32.6,-0.0902183808780315,-1.16758066702423,-0.0943000431018662,-1.07424570898598
33.0,-0.437913579798774,-0.932600241425798,-0.412784203802515,-0.849895764295795
33.1,-0.580032872639458,-0.697442890740015,-0.541878417918893,-0.630872321884213
33.3,-0.676535462686911,-0.41062065554148,-0.628660879957532,-0.365689557422587
33.5,-0.720593191125381,-0.0966081728940034,-0.667085315130562,-0.0768181000607167
33.6,-0.709808851065379,0.21827898428645,-0.655160757071875,0.211723505467053
33.8,-0.646296825583527,0.508246505477642,-0.59500393807976,0.476507722373781
34.2,-0.390122347943963,0.926079404112287,-0.357089618378325,0.855928553448647
34.4,-0.200530961199005,1.02922926790555,-0.182158856984018,0.94834077083036
34.5,-0.0009623631561299,1.02995169938992,0.0015373193537407,0.947241264069101
