t,z1,z1dao,z2,z2dao
0.0,0.0,0.0,0.0,0.0
0.2,0.0087283270839142,0.083463576075567,0.0105981104730764,0.0909546505213134
0.4,0.0332058899628088,0.143780944183154,0.0361262003562119,0.14607378092411
0.7,0.0739850924103413,0.153904983638983,0.0765436974864884,0.148857081892358
0.9,0.101663281417502,0.101140345323442,0.102627624968211,0.091220065999263
1.0,0.110023153330482,0.0560684470361572,0.109855688363838,0.0444743247770198
1.2,0.10785450273547,-0.0805146135027133,0.104679581434357,-0.0933029509203423
1.5,0.07015037826662,-0.232584890860544,0.0641665307768473,-0.242499387312844
1.6,0.0380374647378547,-0.300624211382466,0.0310252944789703,-0.307682215441913
1.9,-0.0601916365398907,-0.400522330904754,-0.0679676990804922,-0.398579612412169
2.0,-0.122969485019271,-0.408151198914844,-0.130009033280206,-0.400484538929184
2.2,-0.204243464123308,-0.350889620030334,-0.208884677201542,-0.335976343199962
2.4,-0.255576743033867,-0.24912829374898,-0.257303495893233,-0.229815094188914
2.7,-0.291674833236625,-0.0139944798573135,-0.287882350615821,0.0080526358053812
2.9,-0.272324371331888,0.205947210134822,-0.264163951118679,0.225914680358427
3.1,-0.198165566623613,0.441325647989873,-0.186137165811004,0.454637760753201
3.2,-0.136007610745049,0.549100506591875,-0.122633560752374,0.557121147535622
3.5,0.0206686559752704,0.682148079531406,0.034503333618826,0.677483087416723
3.6,0.107282837144845,0.69616297471316,0.120116923251153,0.684840558447925
3.9,0.296388620080359,0.57745903166659,0.303906758473352,0.552685148041252
4.1,0.37897429623218,0.420940034548276,0.381985420839022,0.391117343106261
4.2,0.431492152688454,0.213104628163649,0.42938378436625,0.180943491152195
4.6,0.421502860654057,-0.281415953267249,0.40927656930175,-0.308893216461678
4.7,0.355317028544816,-0.521942053557074,0.339114630770854,-0.542556606339031
4.9,0.252409444247271,-0.72583487538183,0.233560415051481,-0.737202608356413
5.1,0.104211085658264,-0.883613574818104,0.0843747107830567,-0.882872814586164
5.2,-0.0283672359297872,-0.942127488669444,-0.0473701568489911,-0.931341965229803
5.5,-0.294880074038925,-0.85877734619406,-0.308039869220781,-0.829864801484007
5.6,-0.409438543922614,-0.718109990868161,-0.417917369249839,-0.682538023624349
5.9,-0.557570607588321,-0.278650853097954,-0.554680409456618,-0.237333140393038
6.1,-0.578515009173169,-0.0086577264588712,-0.569732440007781,0.0311538480835407
6.2,-0.557499014048981,0.284926894450721,-0.542995375794027,0.319963422270137
6.5,-0.38754584570603,0.810354274322062,-0.364883786847331,0.827450693562135
6.7,-0.24937339194042,0.998771390158348,-0.225001589646861,1.00401051797571
6.8,-0.0879633951276012,1.1142495654567,-0.0637515619969869,1.10687776385424
7.1,0.255396196614983,1.08850156039695,0.273676455056731,1.05765075526593
7.3,0.440005056622384,0.905023928337843,0.451606529951395,0.863718503076799
7.5,0.580680339275905,0.613558861040751,0.58407785657178,0.566270398925607
7.7,0.660223723439723,0.244750227959279,0.654797067069802,0.196762548062766
