t,z1,z1dao,z2,z2dao
0,0,0,0,0
0.0042479215852088,1.04873607864495e-10,2.92555365786768e-08,1.07968685595777e-06,0.000301189393129315
0.0084958431704176,5.09447004199412e-10,1.08292455021703e-07,3.40679563732979e-06,0.000602149024238152
0.0127437647556264,1.49240114142895e-09,2.56585380033909e-07,7.00636511008862e-06,0.000902788486967064
0.0250285021921728,1.1511753641243e-08,1.22529878109892e-06,2.38862584174876e-05,0.0017697054734291
0.0373132396287192,4.07587749071196e-08,3.30537283877246e-06,5.10292867784237e-05,0.00263144276061168
0.0495979770652656,1.05576592545666e-07,6.94577892826091e-06,8.86068649069595e-05,0.00348590455046674
0.061882714501812,2.27966900246521e-07,1.26045430339954e-05,0.000136604132611469,0.00433095424861192
0.0856874073925442,7.36342327006137e-07,3.09133003425661e-05,0.000258786527844832,0.00593417693491964
0.109492100283276,1.82086927394411e-06,6.16173071410412e-05,0.000418512732907056,0.00747947967329699
0.133296793174009,3.81192039591126e-06,0.000107803539914249,0.000614219428352563,0.00895225704852427
0.157101486064741,7.11359785804857e-06,0.000172353238373892,0.000843989725742667,0.0103387088004433
0.180906178955473,1.21960275461814e-05,0.000257910334612438,0.0011056048382228,0.0116259585552306
0.229817465015427,3.06047299289743e-05,0.000509018960216843,0.00173178608869366,0.0139119272417846
0.278728751075381,6.40625855180875e-05,0.000875243895640752,0.00245643143179379,0.0156424390711514
0.327640037135335,0.000118445925980411,0.00136803765955469,0.00325090683296519,0.0167498426663475
0.376551323195289,0.000200086981414537,0.00199237132390689,0.00408361964891827,0.0171914154223882
0.425462609255242,0.000315415101200684,0.00274638908366709,0.00492143274415851,0.0169507807237754
0.491727662946327,0.000536266347581708,0.00395862176469073,0.00600569851369252,0.0155572969780233
0.557992716637412,0.000843681645257411,0.00535150347492739,0.0069595794927893,0.0130329910925425
0.624257770328497,0.00124777153661442,0.00686348159656714,0.00771343621556433,0.00956029186489496
0.690522824019583,0.00175394374594304,0.00841664091763153,0.00821224542069569,0.00538817269285912
0.756787877710668,0.00236201450419154,0.00992203330441378,0.00841931706914332,0.000813060984919953
0.823052931401753,0.00306570618189348,0.0112856272453352,0.00831858884269438,-0.00384255270399866
0.892488875789245,0.00389197528637744,0.012460965250826,0.0078890148186447,-0.00845136778821701
0.961924820176738,0.00478808898371509,0.0132809014087799,0.00715886093353653,-0.0124393922150229
1.03136076456423,0.00572641515251455,0.0136650667274139,0.00618211572541946,-0.0155092120840327
1.10079670895172,0.00667453168286331,0.0135563614396981,0.00503087014018336,-0.0174387497337758
1.17023265333922,0.00759702319627741,0.0129253647163487,0.00378940485034744,-0.0180974954729727
1.23966859772671,0.00845748539837957,0.0117729575139654,0.00254752881169107,-0.0174563091641428
1.3091045421142,0.00922063812041819,0.0101307985607713,0.00139350778710684,-0.0155895005041512
1.39846360658352,0.0100083823018014,0.00739678538624747,0.000164667790995513,-0.0116676069797117
1.48782267105283,0.0105268029491698,0.0041413303352248,-0.000655733667069858,-0.00656552821199461
1.57718173552215,0.0107395035560042,0.000599026622794385,-0.000993168343283981,-0.000995836305244194
1.64836409106606,0.0106800391194196,-0.00225806120018659,-0.000909699583082956,0.00326134879307783
1.71954644660997,0.010420281289079,-0.00501044139550538,-0.000541367139014677,0.00695628543497936
1.79072880215388,0.00997173091376468,-0.00754559640507623,6.02187029029976e-05,0.00976854983395368
1.86191115769779,0.00935326756250603,-0.00977061239447833,0.000823042550730689,0.0114517317910759
1.9330935132417,0.00858954439471407,-0.0116182300840315,0.00166066707833641,0.01185411145502
2.00427586878561,0.00770896911231708,-0.0130509488280974,0.00247961967514064,0.0109321698816319
